{'loss': 0.3639, 'learning_rate': 0.0002992892348209266, 'epoch': 0.41}
{'loss': 0.7128, 'learning_rate': 0.00029926453461173334, 'epoch': 0.41}
{'loss': 0.3005, 'learning_rate': 0.00029923941357059484, 'epoch': 0.42}
{'loss': 0.2451, 'learning_rate': 0.00029921387176833666, 'epoch': 0.42}
{'loss': 0.2054, 'learning_rate': 0.00029918790927697047, 'epoch': 0.43}
{'loss': 0.7407, 'learning_rate': 0.0002991615261696943, 'epoch': 0.43}
{'loss': 0.361, 'learning_rate': 0.00029913472252089175, 'epoch': 0.44}
{'loss': 0.175, 'learning_rate': 0.0002991074984061323, 'epoch': 0.44}
{'loss': 0.4452, 'learning_rate': 0.0002990798539021707, 'epoch': 0.45}
{'loss': 0.5387, 'learning_rate': 0.00029905178908694714, 'epoch': 0.46}
{'loss': 0.1941, 'learning_rate': 0.00029902330403958673, 'epoch': 0.46}
{'loss': 0.794, 'learning_rate': 0.0002989943988403993, 'epoch': 0.47}
{'loss': 0.1645, 'learning_rate': 0.00029896507357087926, 'epoch': 0.47}
{'loss': 0.4919, 'learning_rate': 0.0002989353283137055, 'epoch': 0.48}
{'loss': 0.3506, 'learning_rate': 0.0002989051631527408, 'epoch': 0.48}
{'loss': 0.3448, 'learning_rate': 0.000298874578173032, 'epoch': 0.49}
{'loss': 0.2547, 'learning_rate': 0.00029884357346080935, 'epoch': 0.49}
{'loss': 0.4562, 'learning_rate': 0.0002988121491034868, 'epoch': 0.5}
{'loss': 0.6932, 'learning_rate': 0.00029878030518966104, 'epoch': 0.5}
{'loss': 0.3318, 'learning_rate': 0.000298748041809112, 'epoch': 0.51}
{'loss': 0.389, 'learning_rate': 0.000298715359052802, 'epoch': 0.51}
{'loss': 0.3544, 'learning_rate': 0.00029868225701287576, 'epoch': 0.52}
{'loss': 0.2536, 'learning_rate': 0.0002986487357826603, 'epoch': 0.52}
{'loss': 0.3053, 'learning_rate': 0.00029861479545666435, 'epoch': 0.53}
{'loss': 0.4741, 'learning_rate': 0.00029858043613057816, 'epoch': 0.53}
{'loss': 0.3473, 'learning_rate': 0.00029854565790127355, 'epoch': 0.54}
{'loss': 0.4062, 'learning_rate': 0.000298510460866803, 'epoch': 0.54}
{'loss': 0.2887, 'learning_rate': 0.00029847484512640014, 'epoch': 0.55}
{'loss': 0.456, 'learning_rate': 0.0002984388107804788, 'epoch': 0.56}
{'loss': 0.5031, 'learning_rate': 0.00029840235793063323, 'epoch': 0.56}
{'loss': 0.2203, 'learning_rate': 0.00029836548667963743, 'epoch': 0.57}
{'loss': 0.3077, 'learning_rate': 0.00029832819713144517, 'epoch': 0.57}
{'loss': 0.3323, 'learning_rate': 0.0002982904893911894, 'epoch': 0.58}
