{'loss': 2.0623, 'learning_rate': 4.9999999999999996e-05, 'epoch': 0.02}
{'loss': 1.6141, 'learning_rate': 9.999999999999999e-05, 'epoch': 0.04}
{'loss': 2.0798, 'learning_rate': 0.00015, 'epoch': 0.06}
{'loss': 1.6792, 'learning_rate': 0.00019999999999999998, 'epoch': 0.08}
{'loss': 1.8026, 'learning_rate': 0.00025, 'epoch': 0.09}
{'loss': 1.5215, 'learning_rate': 0.0003, 'epoch': 0.11}
{'loss': 1.2176, 'learning_rate': 0.00029999719822394847, 'epoch': 0.13}
{'loss': 1.1131, 'learning_rate': 0.00029998879300045984, 'epoch': 0.15}
{'loss': 1.0244, 'learning_rate': 0.00029997478464352826, 'epoch': 0.17}
{'loss': 1.1076, 'learning_rate': 0.000299955173676464, 'epoch': 0.19}
{'loss': 0.7031, 'learning_rate': 0.00029992996083187434, 'epoch': 0.21}
{'loss': 0.5591, 'learning_rate': 0.0002998991470516358, 'epoch': 0.23}
{'loss': 0.5349, 'learning_rate': 0.00029986273348685916, 'epoch': 0.25}
{'loss': 0.6218, 'learning_rate': 0.0002998207214978466, 'epoch': 0.27}
{'loss': 0.4374, 'learning_rate': 0.0002997731126540404, 'epoch': 0.28}
{'loss': 0.5918, 'learning_rate': 0.0002997199087339651, 'epoch': 0.3}
{'loss': 0.352, 'learning_rate': 0.00029966111172515994, 'epoch': 0.32}
{'loss': 0.3939, 'learning_rate': 0.00029959672382410575, 'epoch': 0.34}
{'loss': 0.2427, 'learning_rate': 0.0002995267474361424, 'epoch': 0.36}
{'loss': 0.2859, 'learning_rate': 0.00029945118517537856, 'epoch': 0.38}
{'loss': 0.2926, 'learning_rate': 0.0002993700398645948, 'epoch': 0.4}
{'loss': 0.1116, 'learning_rate': 0.0002992833145351376, 'epoch': 0.42}
{'loss': 0.0906, 'learning_rate': 0.00029919101242680625, 'epoch': 0.44}
{'loss': 0.1542, 'learning_rate': 0.00029909313698773203, 'epoch': 0.45}
{'loss': 0.143, 'learning_rate': 0.000298989691874249, 'epoch': 0.47}
{'loss': 0.2116, 'learning_rate': 0.00029888068095075776, 'epoch': 0.49}
{'loss': 0.2757, 'learning_rate': 0.00029876610828958087, 'epoch': 0.51}
{'loss': 0.1507, 'learning_rate': 0.0002986459781708108, 'epoch': 0.53}
{'loss': 0.2291, 'learning_rate': 0.0002985202950821502, 'epoch': 0.55}
{'loss': 0.0905, 'learning_rate': 0.0002983890637187439, 'epoch': 0.57}
{'loss': 0.0347, 'learning_rate': 0.00029825228898300375, 'epoch': 0.59}
{'loss': 0.0595, 'learning_rate': 0.00029810997598442556, 'epoch': 0.61}
{'loss': 0.2439, 'learning_rate': 0.00029796213003939796, 'epoch': 0.63}
{'loss': 0.0788, 'learning_rate': 0.000297808756671004, 'epoch': 0.64}
{'loss': 0.0222, 'learning_rate': 0.0002976498616088147, 'epoch': 0.66}
{'loss': 0.0203, 'learning_rate': 0.0002974854507886752, 'epoch': 0.68}
{'loss': 0.0182, 'learning_rate': 0.00029731553035248283, 'epoch': 0.7}
{'loss': 0.0198, 'learning_rate': 0.00029714010664795765, 'epoch': 0.72}
{'loss': 0.0328, 'learning_rate': 0.0002969591862284055, 'epoch': 0.74}
{'loss': 0.2607, 'learning_rate': 0.0002967727758524729, 'epoch': 0.76}
{'loss': 0.0357, 'learning_rate': 0.00029658088248389505, 'epoch': 0.78}
{'loss': 0.044, 'learning_rate': 0.0002963835132912351, 'epoch': 0.8}
{'loss': 0.0108, 'learning_rate': 0.0002961806756476168, 'epoch': 0.82}
{'loss': 0.0917, 'learning_rate': 0.0002959723771304488, 'epoch': 0.83}
{'loss': 0.0049, 'learning_rate': 0.00029575862552114185, 'epoch': 0.85}
{'loss': 0.0394, 'learning_rate': 0.00029553942880481765, 'epoch': 0.87}
{'loss': 0.079, 'learning_rate': 0.0002953147951700111, 'epoch': 0.89}
{'loss': 0.1667, 'learning_rate': 0.00029508473300836395, 'epoch': 0.91}
{'loss': 0.008, 'learning_rate': 0.0002948492509143117, 'epoch': 0.93}
{'loss': 0.0749, 'learning_rate': 0.00029460835768476226, 'epoch': 0.95}
{'loss': 0.0044, 'learning_rate': 0.0002943620623187673, 'epoch': 0.97}
{'loss': 0.0085, 'learning_rate': 0.00029411037401718624, 'epoch': 0.99}
{'loss': 0.0105, 'learning_rate': 0.00029385330218234263, 'epoch': 1.0}
{'loss': 0.0569, 'learning_rate': 0.00029359085641767244, 'epoch': 1.02}
{'loss': 0.0392, 'learning_rate': 0.0002933230465273659, 'epoch': 1.04}
{'loss': 0.0147, 'learning_rate': 0.0002930498825160008, 'epoch': 1.06}
{'loss': 0.0193, 'learning_rate': 0.000292771374588169, 'epoch': 1.08}
{'loss': 0.0079, 'learning_rate': 0.0002924875331480949, 'epoch': 1.1}
{'loss': 0.0085, 'learning_rate': 0.00029219836879924735, 'epoch': 1.12}
{'loss': 0.0076, 'learning_rate': 0.0002919038923439428, 'epoch': 1.14}
{'loss': 0.0233, 'learning_rate': 0.0002916041147829425, 'epoch': 1.16}
{'loss': 0.0146, 'learning_rate': 0.0002912990473150409, 'epoch': 1.18}
{'loss': 0.0176, 'learning_rate': 0.00029098870133664767, 'epoch': 1.19}
{'loss': 0.0043, 'learning_rate': 0.0002906730884413619, 'epoch': 1.21}
{'loss': 0.0024, 'learning_rate': 0.0002903522204195389, 'epoch': 1.23}
{'loss': 0.0388, 'learning_rate': 0.00029002610925785, 'epoch': 1.25}
{'loss': 0.0089, 'learning_rate': 0.00028969476713883424, 'epoch': 1.27}
{'loss': 0.0201, 'learning_rate': 0.0002893582064404439, 'epoch': 1.29}
{'loss': 0.0103, 'learning_rate': 0.00028901643973558184, 'epoch': 1.31}
{'loss': 0.0068, 'learning_rate': 0.0002886694797916314, 'epoch': 1.33}
{'loss': 0.011, 'learning_rate': 0.0002883173395699802, 'epoch': 1.35}
{'loss': 0.0364, 'learning_rate': 0.00028796003222553553, 'epoch': 1.36}
{'loss': 0.0036, 'learning_rate': 0.0002875975711062327, 'epoch': 1.38}
