{'loss': 2.0623, 'learning_rate': 9.999999999999999e-05, 'epoch': 0.02}
{'loss': 1.6141, 'learning_rate': 0.00019999999999999998, 'epoch': 0.04}
{'loss': 2.0705, 'learning_rate': 0.0003, 'epoch': 0.06}
{'loss': 1.6209, 'learning_rate': 0.00029998879300045984, 'epoch': 0.08}
{'loss': 1.621, 'learning_rate': 0.000299955173676464, 'epoch': 0.09}
{'loss': 1.2711, 'learning_rate': 0.0002998991470516358, 'epoch': 0.11}
{'loss': 1.0234, 'learning_rate': 0.0002998207214978466, 'epoch': 0.13}
{'loss': 0.8848, 'learning_rate': 0.0002997199087339651, 'epoch': 0.15}
{'loss': 0.8072, 'learning_rate': 0.00029959672382410575, 'epoch': 0.17}
{'loss': 0.9189, 'learning_rate': 0.00029945118517537856, 'epoch': 0.19}
{'loss': 0.608, 'learning_rate': 0.0002992833145351376, 'epoch': 0.21}
{'loss': 0.4726, 'learning_rate': 0.00029909313698773203, 'epoch': 0.23}
{'loss': 0.4249, 'learning_rate': 0.00029888068095075776, 'epoch': 0.25}
{'loss': 0.5003, 'learning_rate': 0.0002986459781708108, 'epoch': 0.27}
{'loss': 0.3138, 'learning_rate': 0.0002983890637187439, 'epoch': 0.28}
{'loss': 0.541, 'learning_rate': 0.00029810997598442556, 'epoch': 0.3}
{'loss': 0.2721, 'learning_rate': 0.000297808756671004, 'epoch': 0.32}
{'loss': 0.3522, 'learning_rate': 0.0002974854507886752, 'epoch': 0.34}
{'loss': 0.1858, 'learning_rate': 0.00029714010664795765, 'epoch': 0.36}
{'loss': 0.2276, 'learning_rate': 0.0002967727758524729, 'epoch': 0.38}
{'loss': 0.2452, 'learning_rate': 0.0002963835132912351, 'epoch': 0.4}
{'loss': 0.097, 'learning_rate': 0.0002959723771304488, 'epoch': 0.42}
{'loss': 0.07, 'learning_rate': 0.00029553942880481765, 'epoch': 0.44}
{'loss': 0.1444, 'learning_rate': 0.00029508473300836395, 'epoch': 0.45}
{'loss': 0.1314, 'learning_rate': 0.00029460835768476226, 'epoch': 0.47}
{'loss': 0.1962, 'learning_rate': 0.00029411037401718624, 'epoch': 0.49}
{'loss': 0.2568, 'learning_rate': 0.00029359085641767244, 'epoch': 0.51}
{'loss': 0.1332, 'learning_rate': 0.0002930498825160008, 'epoch': 0.53}
{'loss': 0.2129, 'learning_rate': 0.0002924875331480949, 'epoch': 0.55}
{'loss': 0.0861, 'learning_rate': 0.0002919038923439428, 'epoch': 0.57}
{'loss': 0.0341, 'learning_rate': 0.0002912990473150409, 'epoch': 0.59}
{'loss': 0.0473, 'learning_rate': 0.0002906730884413619, 'epoch': 0.61}
{'loss': 0.2266, 'learning_rate': 0.00029002610925785, 'epoch': 0.63}
{'loss': 0.0844, 'learning_rate': 0.0002893582064404439, 'epoch': 0.64}
{'loss': 0.0203, 'learning_rate': 0.0002886694797916314, 'epoch': 0.66}
{'loss': 0.0183, 'learning_rate': 0.00028796003222553553, 'epoch': 0.68}
{'loss': 0.0163, 'learning_rate': 0.00028722996975253686, 'epoch': 0.7}
{'loss': 0.0246, 'learning_rate': 0.0002864794014634328, 'epoch': 0.72}
{'loss': 0.0325, 'learning_rate': 0.00028570843951313625, 'epoch': 0.74}
{'loss': 0.2505, 'learning_rate': 0.0002849171991039168, 'epoch': 0.76}
{'loss': 0.0293, 'learning_rate': 0.0002841057984681866, 'epoch': 0.78}
{'loss': 0.0406, 'learning_rate': 0.0002832743588508329, 'epoch': 0.8}
{'loss': 0.0092, 'learning_rate': 0.00028242300449110114, 'epoch': 0.82}
{'loss': 0.0895, 'learning_rate': 0.00028155186260403036, 'epoch': 0.83}
{'loss': 0.0039, 'learning_rate': 0.00028066106336144345, 'epoch': 0.85}
{'loss': 0.0383, 'learning_rate': 0.00027975073987249654, 'epoch': 0.87}
{'loss': 0.0709, 'learning_rate': 0.00027882102816378853, 'epoch': 0.89}
{'loss': 0.1621, 'learning_rate': 0.0002778720671590354, 'epoch': 0.91}
{'loss': 0.0073, 'learning_rate': 0.00027690399865831094, 'epoch': 0.93}
{'loss': 0.0736, 'learning_rate': 0.00027591696731685847, 'epoch': 0.95}
