{'loss': 0.0733, 'learning_rate': 0.00010407885860615859, 'epoch': 1.46}
{'loss': 0.0877, 'learning_rate': 0.00010203985373914056, 'epoch': 1.48}
{'loss': 0.0097, 'learning_rate': 0.0001, 'epoch': 1.5}
{'loss': 0.0123, 'learning_rate': 9.79601462608595e-05, 'epoch': 1.52}
{'loss': 0.0032, 'learning_rate': 9.592114139384145e-05, 'epoch': 1.54}
{'loss': 0.0021, 'learning_rate': 9.388383391781575e-05, 'epoch': 1.55}
{'loss': 0.0044, 'learning_rate': 9.184907164529368e-05, 'epoch': 1.57}
{'loss': 0.0271, 'learning_rate': 8.981770132961649e-05, 'epoch': 1.59}
{'loss': 0.0079, 'learning_rate': 8.779056831258402e-05, 'epoch': 1.61}
{'loss': 0.001, 'learning_rate': 8.57685161726715e-05, 'epoch': 1.63}
{'loss': 0.0029, 'learning_rate': 8.375238637397942e-05, 'epoch': 1.65}
{'loss': 0.0003, 'learning_rate': 8.174301791606385e-05, 'epoch': 1.67}
{'loss': 0.0081, 'learning_rate': 7.974124698479192e-05, 'epoch': 1.69}
{'loss': 0.0035, 'learning_rate': 7.774790660436858e-05, 'epoch': 1.71}
{'loss': 0.0046, 'learning_rate': 7.576382629067877e-05, 'epoch': 1.73}
{'loss': 0.0074, 'learning_rate': 7.378983170608982e-05, 'epoch': 1.74}
{'loss': 0.0242, 'learning_rate': 7.182674431585704e-05, 'epoch': 1.76}
{'loss': 0.0019, 'learning_rate': 6.98753810462766e-05, 'epoch': 1.78}
{'loss': 0.0112, 'learning_rate': 6.793655394472644e-05, 'epoch': 1.8}
{'loss': 0.0016, 'learning_rate': 6.601106984173835e-05, 'epoch': 1.82}
{'loss': 0.0008, 'learning_rate': 6.409973001524012e-05, 'epoch': 1.84}
{'loss': 0.0011, 'learning_rate': 6.220332985710936e-05, 'epoch': 1.86}
{'loss': 0.0084, 'learning_rate': 6.0322658542175736e-05, 'epoch': 1.88}
{'loss': 0.0041, 'learning_rate': 5.845849869981137e-05, 'epoch': 1.9}
{'loss': 0.0984, 'learning_rate': 5.6611626088244194e-05, 'epoch': 1.91}
{'loss': 0.1235, 'learning_rate': 5.478280927173145e-05, 'epoch': 1.93}
{'loss': 0.0005, 'learning_rate': 5.297280930072632e-05, 'epoch': 1.95}
{'loss': 0.0041, 'learning_rate': 5.11823793951719e-05, 'epoch': 1.97}
{'loss': 0.0379, 'learning_rate': 4.9412264631053216e-05, 'epoch': 1.99}
{'loss': 0.005, 'learning_rate': 4.7663201630338816e-05, 'epoch': 2.01}
{'loss': 0.0009, 'learning_rate': 4.593591825444028e-05, 'epoch': 2.03}
{'loss': 0.0013, 'learning_rate': 4.423113330131707e-05, 'epoch': 2.05}
